accelaration accelaration accelaration
-0.225920 -0.129484 0.377047
-0.225716 -0.123206 0.380992
-0.225385 -0.116911 0.384856
-0.224924 -0.110602 0.388638
-0.224336 -0.104283 0.392337
-0.223619 -0.097955 0.395953
-0.222773 -0.091622 0.399484
-0.221799 -0.085287 0.402930
-0.220697 -0.078953 0.406290
-0.219466 -0.072622 0.409564
-0.218108 -0.066298 0.412750
-0.216623 -0.059983 0.415848
-0.215010 -0.053680 0.418857
-0.213271 -0.047393 0.421776
-0.211406 -0.041123 0.424605
-0.209415 -0.034874 0.427344
-0.207300 -0.028648 0.429991
-0.205060 -0.022449 0.432547
-0.202697 -0.016279 0.435009
-0.200212 -0.010141 0.437379
-0.197604 -0.004038 0.439655
-0.194877 0.002027 0.441837
-0.192029 0.008053 0.443924
-0.189063 0.014035 0.445916
-0.185979 0.019972 0.447813
-0.182780 0.025860 0.449613
-0.179465 0.031698 0.451317
-0.176036 0.037481 0.452925
-0.172495 0.043209 0.454435
-0.168843 0.048878 0.455848
-0.165081 0.054485 0.457163
-0.161212 0.060029 0.458380
-0.157236 0.065507 0.459498
-0.153155 0.070916 0.460518
-0.148972 0.076254 0.461439
-0.144687 0.081518 0.462261
-0.140302 0.086707 0.462984
-0.135820 0.091817 0.463607
-0.131242 0.096848 0.464131
-0.126570 0.101796 0.464555
-0.121806 0.106659 0.464879
-0.116952 0.111435 0.465103
-0.112011 0.116123 0.465227
-0.106983 0.120720 0.465251
-0.101872 0.125224 0.465176
-0.096680 0.129633 0.465000
-0.091409 0.133945 0.464724
-0.086061 0.138159 0.464348
-0.080639 0.142272 0.463873
-0.075144 0.146284 0.463297
-0.069580 0.150191 0.462622
-0.063948 0.153994 0.461848
-0.058252 0.157689 0.460974
-0.052494 0.161276 0.460001
-0.046675 0.164752 0.458929
-0.040800 0.168118 0.457758
-0.034870 0.171370 0.456489
-0.028887 0.174508 0.455121
-0.022856 0.177531 0.453656
-0.016778 0.180438 0.452093
-0.010656 0.183226 0.450433
-0.004493 0.185896 0.448676
0.001709 0.188446 0.446823
0.007946 0.190876 0.444873
0.014217 0.193183 0.442828
0.020517 0.195368 0.440687
0.026845 0.197430 0.438452
0.033197 0.199368 0.436122
0.039570 0.201181 0.433698
0.045963 0.202868 0.431182
0.052371 0.204430 0.428572
0.058793 0.205866 0.425871
0.065224 0.207175 0.423077
0.071662 0.208357 0.420193
0.078105 0.209411 0.417219
0.084550 0.210338 0.414155
0.090992 0.211137 0.411002
0.097430 0.211809 0.407761
0.103861 0.212353 0.404432
0.110282 0.212769 0.401016
0.116689 0.213057 0.397514
0.123080 0.213217 0.393927
0.129453 0.213251 0.390255
0.135803 0.213157 0.386500
0.142129 0.212937 0.382661
0.148427 0.212590 0.378741
0.154695 0.212118 0.374739
0.160929 0.211520 0.370657
0.167127 0.210798 0.366495
0.173286 0.209951 0.362255
0.179403 0.208982 0.357937
0.185476 0.207890 0.353543
0.191501 0.206676 0.349073
0.197477 0.205342 0.344528
0.203399 0.203887 0.339909
0.209266 0.202314 0.335218
0.215075 0.200624 0.330455
0.220823 0.198816 0.325621
0.226508 0.196894 0.320718
0.232126 0.194857 0.315746
0.237676 0.192708 0.310707
0.243155 0.190447 0.305602
0.248561 0.188076 0.300431
0.253890 0.185596 0.295196
0.259141 0.183010 0.289899
0.264311 0.180318 0.284539
0.269398 0.177522 0.279119
0.274399 0.174624 0.273640
0.279312 0.171626 0.268102
0.284136 0.168529 0.262507
0.288867 0.165335 0.256857
0.293503 0.162047 0.251152
0.298044 0.158665 0.245394
0.302485 0.155192 0.239583
0.306826 0.151631 0.233722
0.311065 0.147982 0.227812
0.315199 0.144248 0.221853
0.319226 0.140432 0.215847
0.323146 0.136535 0.209796
0.326955 0.132560 0.203700
0.330653 0.128509 0.197561
0.334238 0.124384 0.191381
0.337707 0.120187 0.185161
