position(x) position(y) position(z)
-2945667.719501 19573516.500975 -17665887.936584
-3073095.152717 19385604.270191 -17849572.982633
-3202779.642847 19196459.994762 -18029448.172777
-3334717.871199 19006146.621521 -18205474.868434
-3468905.235737 18814727.235011 -18377615.250447
-3605335.849995 18622265.028661 -18545832.327448
-3744002.542634 18428823.275929 -18710089.944045
-3884896.857614 18234465.301418 -18870352.788829
-4028009.055011 18039254.451989 -19026586.402202
-4173328.112459 17843254.067878 -19178757.184022
-4320841.727225 17646527.453829 -19326832.401060
-4470536.318910 17449137.850271 -19470780.194276
-4622397.032787 17251148.404529 -19610569.585901
-4776407.743759 17052622.142106 -19746170.486334
-4932551.060950 16853621.938041 -19877553.700840
-5090808.332917 16654210.488348 -20004690.936065
-5251159.653486 16454450.281569 -20127554.806344
-5413583.868208 16254403.570433 -20246118.839821
-5578058.581428 16054132.343655 -20360357.484366
-5744560.163979 15853698.297875 -20470246.113294
-5913063.761476 15653162.809751 -20575761.030881
-6083543.303218 15452586.908235 -20676879.477682
-6255971.511701 15252031.247018 -20773579.635636
-6430319.912724 15051556.077189 -20865840.632973
-6606558.846087 14851221.220094 -20953642.548915
-6784657.476882 14651086.040424 -21036966.418160
-6964583.807368 14451209.419542 -21115794.235168
-7146304.689426 14251649.729059 -21190108.958230
-7329785.837580 14052464.804672 -21259894.513326
-7514991.842591 13853711.920281 -21325135.797773
-7701886.185612 13655447.762395 -21385818.683662
-7890431.252893 13457728.404833 -21441930.021070
-8080588.351034 13260609.283750 -21493457.641070
-8272317.722780 13064145.172975 -21540390.358520
-8465578.563344 12868390.159698 -21582717.974628
-8660329.037262 12673397.620502 -21620431.279315
-8856526.295754 12479220.197751 -21653522.053344
-9054126.494604 12285909.776362 -21681983.070241
-9253084.812533 12093517.460947 -21705808.097994
-9453355.470070 11902093.553365 -21724991.900527
-9654891.748893 11711687.530666 -21739530.238964
-9857646.011659 11522348.023459 -21749419.872661
-10061569.722284 11334122.794706 -21754658.560029
-10266613.466687 11147058.718954 -21755245.059122
-10472726.973970 10961201.762011 -21751179.128018
-10679859.138035 10776596.961082 -21742461.524967
-10887958.039631 10593288.405372 -21729094.008326
-11096970.968800 10411319.217166 -21711079.336261
-11306844.447738 10230731.533391 -21688421.266242
