velocity(x) velocity(y) velocity(z)
-1262.981190 -1872.752664 -1855.768913
-1285.564079 -1885.387313 -1817.866257
-1308.120193 -1897.393279 -1779.573147
-1330.636705 -1908.769040 -1740.897733
-1353.100775 -1919.513363 -1701.848253
-1375.499557 -1929.625303 -1662.433026
-1397.820202 -1939.104205 -1622.660452
-1420.049864 -1947.949702 -1582.539010
-1442.175713 -1956.161715 -1542.077256
-1464.184931 -1963.740455 -1501.283824
-1486.064729 -1970.686421 -1460.167418
-1507.802346 -1977.000400 -1418.736816
-1529.385056 -1982.683467 -1377.000866
-1550.800178 -1987.736984 -1334.968484
-1572.035079 -1992.162599 -1292.648650
-1593.077182 -1995.962243 -1250.050411
-1613.913971 -1999.138133 -1207.182874
-1634.532996 -2001.692770 -1164.055208
-1654.921885 -2003.628933 -1120.676638
-1675.068341 -2004.949683 -1077.056447
-1694.960156 -2005.658360 -1033.203972
-1714.585214 -2005.758577 -989.128600
-1733.931497 -2005.254225 -944.839772
-1752.987088 -2004.149465 -900.346973
-1771.740185 -2002.448731 -855.659736
-1790.179099 -2000.156722 -810.787639
-1808.292262 -1997.278405 -765.740298
-1826.068235 -1993.819008 -720.527373
-1843.495711 -1989.784019 -675.158558
-1860.563522 -1985.179187 -629.643584
-1877.260646 -1980.010510 -583.992216
-1893.576208 -1974.284243 -538.214250
-1909.499490 -1968.006885 -492.319508
-1925.019934 -1961.185181 -446.317843
-1940.127148 -1953.826119 -400.219129
-1954.810912 -1945.936923 -354.033266
-1969.061181 -1937.525053 -307.770171
-1982.868091 -1928.598197 -261.439780
-1996.221965 -1919.164271 -215.052048
-2009.113318 -1909.231415 -168.616938
-2021.532859 -1898.807985 -122.144429
-2033.471499 -1887.902551 -75.644508
-2044.920353 -1876.523896 -29.127169
-2055.870747 -1864.681006 17.397590
-2066.314219 -1852.383068 63.919768
-2076.242527 -1839.639466 110.429362
-2085.647651 -1826.459775 156.916373
-2094.521799 -1812.853758 203.370805
-2102.857406 -1798.831359 249.782668
-2110.647144 -1784.402698 296.141981
-2117.883924 -1769.578069 342.438773
-2124.560896 -1754.367931 388.663087
-2130.671457 -1738.782906 434.804979
-2136.209253 -1722.833769 480.854525
-2141.168180 -1706.531450 526.801820
-2145.542392 -1689.887021 572.636978
-2149.326298 -1672.911694 618.350140
-2152.514571 -1655.616818 663.931471
-2155.102145 -1638.013868 709.371167
-2157.084223 -1620.114441 754.659451
-2158.456276 -1601.930253 799.786581
-2159.214045 -1583.473130 844.742849
-2159.353546 -1564.755004 889.518584
-2158.871072 -1545.787905 934.104155
-2157.763191 -1526.583957 978.489971
-2156.026753 -1507.155373 1022.666485
-2153.658887 -1487.514444 1066.624195
-2150.657008 -1467.673537 1110.353648
-2147.018813 -1447.645089 1153.845438
-2142.742285 -1427.441600 1197.090214
-2137.825695 -1407.075625 1240.078676
-2132.267601 -1386.559770 1282.801583
-2126.066850 -1365.906684 1325.249750
-2119.222579 -1345.129056 1367.414052
-2111.734214 -1324.239604 1409.285426
-2103.601472 -1303.251073 1450.854873
-2094.824364 -1282.176226 1492.113463
-2085.403187 -1261.027837 1533.052329
-2075.338534 -1239.818689 1573.662678
-2064.631286 -1218.561563 1613.935786
-2053.282616 -1197.269233 1653.863006
-2041.293987 -1175.954462 1693.435765
-2028.667154 -1154.629992 1732.645567
-2015.404160 -1133.308541 1771.483997
-2001.507335 -1112.002795 1809.942720
-1986.979300 -1090.725399 1848.013485
-1971.822959 -1069.488959 1885.688126
-1956.041506 -1048.306025 1922.958565
-1939.638414 -1027.189095 1959.816810
-1922.617441 -1006.150602 1996.254961
-1904.982627 -985.202908 2032.265211
-1886.738289 -964.358303 2067.839844
-1867.889023 -943.628995 2102.971243
-1848.439698 -923.027103 2137.651884
-1828.395459 -902.564656 2171.874346
-1807.761719 -882.253580 2205.631306
-1786.544162 -862.105699 2238.915544
-1764.748736 -842.132726 2271.719942
-1742.381652 -822.346255 2304.037489
-1719.449382 -802.757761 2335.861280
-1695.958656 -783.378588 2367.184517
-1671.916457 -764.219948 2398.000514
-1647.330020 -745.292915 2428.302693
-1622.206827 -726.608416 2458.084592
-1596.554606 -708.177230 2487.339860
-1570.381324 -690.009981 2516.062261
-1543.695187 -672.117131 2544.245679
-1516.504632 -654.508979 2571.884112
-1488.818328 -637.195652 2598.971679
-1460.645170 -620.187100 2625.502620
-1431.994270 -603.493097 2651.471294
-1402.874964 -587.123227 2676.872186
-1373.296794 -571.086888 2701.699903
-1343.269517 -555.393282 2725.949178
-1312.803089 -540.051412 2749.614869
-1281.907668 -525.070077 2772.691963
-1250.593606 -510.457871 2795.175573
-1218.871446 -496.223173 2817.060945
-1186.751914 -482.374150 2838.343452
-1154.245918 -468.918745 2859.018599
-1121.364539 -455.864680 2879.082024
-1088.119031 -443.219449 2898.529499
-1054.520810 -430.990316 2917.356928
-1020.581452 -419.184307 2935.560350
-986.312687 -407.808214 2953.135941
-951.726394 -396.868586 2970.080014
-916.834595 -386.371727 2986.389016
-881.649448 -376.323694 3002.059534
-846.183246 -366.730293 3017.088294
-810.448404 -357.597080 3031.472161
-774.457460 -348.929349 3045.208138
-738.223067 -340.732142 3058.293370
-701.757983 -333.010236 3070.725143
-665.075074 -325.768147 3082.500883
-628.187297 -319.010123 3093.618160
-591.107705 -312.740148 3104.074685
-553.849432 -306.961934 3113.868312
-516.425692 -301.678925 3122.997039
-478.849770 -296.894289 3131.459006
-441.135021 -292.610921 3139.252498
-403.294855 -288.831443 3146.375944
-365.342739 -285.558197 3152.827917
-327.292187 -282.793248 3158.607135
-289.156754 -280.538384 3163.712462
-250.950030 -278.795111 3168.142904
-212.685635 -277.564656 3171.897616
-174.377209 -276.847966 3174.975894
-136.038411 -276.645704 3177.377183
-97.682907 -276.958255 3179.101072
-59.324368 -277.785721 3180.147294
-20.976462 -279.127921 3180.515729
17.347152 -280.984394 3180.206403
55.632830 -283.354398 3179.219484
93.866952 -286.236910 3177.555288
132.035923 -289.630627 3175.214275
170.126184 -293.533965 3172.197049
208.124217 -297.945063 3168.504358
246.016549 -302.861783 3164.137097
283.789763 -308.281708 3159.096303
321.430497 -314.202147 3153.383155
358.925458 -320.620136 3146.998978
396.261423 -327.532436 3139.945239
433.425246 -334.935540 3132.223548
470.403865 -342.825669 3123.835655
507.184307 -351.198780 3114.783454
543.753696 -360.050563 3105.068979
580.099255 -369.376444 3094.694404
616.208317 -379.171590 3083.662045
652.068325 -389.430909 3071.974356
687.666843 -400.149053 3059.633929
722.991558 -411.320422 3046.643495
758.030288 -422.939164 3033.005924
792.770985 -434.999181 3018.724221
827.201744 -447.494130 3003.801528
861.310805 -460.417425 2988.241121
895.086561 -473.762245 2972.046411
928.517560 -487.521533 2955.220945
961.592514 -501.687998 2937.768400
994.300301 -516.254127 2919.692586
1026.629974 -531.212177 2900.997444
1058.570760 -546.554190 2881.687046
1090.112069 -562.271987 2861.765593
1121.243500 -578.357182 2841.237413
1151.954840 -594.801176 2820.106963
1182.236076 -611.595169 2798.378826
1212.077392 -628.730159 2776.057708
1241.469180 -646.196953 2753.148443
1270.402039 -663.986162 2729.655986
1298.866783 -682.088215 2705.585412
1326.854443 -700.493357 2680.941920
1354.356272 -719.191658 2655.730827
1381.363747 -738.173014 2629.957570
1407.868577 -757.427157 2603.627700
1433.862700 -776.943655 2576.746887
1459.338293 -796.711920 2549.320915
1484.287773 -816.721211 2521.355680
1508.703799 -836.960643 2492.857192
1532.579276 -857.419187 2463.831571
1555.907360 -878.085680 2434.285045
1578.681457 -898.948829 2404.223953
1600.895230 -919.997214 2373.654739
1622.542600 -941.219297 2342.583951
1643.617747 -962.603428 2311.018243
1664.115116 -984.137845 2278.964371
1684.029415 -1005.810687 2246.429190
1703.355621 -1027.609994 2213.419658
1722.088980 -1049.523718 2179.942827
1740.225011 -1071.539723 2146.005848
1757.759503 -1093.645796 2111.615965
1774.688524 -1115.829650 2076.780518
1791.008417 -1138.078930 2041.506935
1806.715802 -1160.381221 2005.802737
1821.807580 -1182.724053 1969.675533
1836.280932 -1205.094906 1933.133018
1850.133321 -1227.481216 1896.182971
1863.362492 -1249.870384 1858.833259
1875.966475 -1272.249778 1821.091826
1887.943580 -1294.606744 1782.966698
1899.292407 -1316.928605 1744.465981
1910.011836 -1339.202676 1705.597856
1920.101035 -1361.416263 1666.370579
1929.559456 -1383.556671 1626.792480
1938.386837 -1405.611212 1586.871961
1946.583200 -1427.567211 1546.617491
1954.148854 -1449.412009 1506.037611
1961.084389 -1471.132973 1465.140926
1967.390682 -1492.717498 1423.936104
1973.068890 -1514.153019 1382.431879
1978.120456 -1535.427009 1340.637043
1982.547100 -1556.526992 1298.560447
1986.350827 -1577.440548 1256.211001
1989.533916 -1598.155316 1213.597668
1992.098928 -1618.658999 1170.729465
1994.048697 -1638.939378 1127.615462
1995.386335 -1658.984307 1084.264776
1996.115222 -1678.781728 1040.686573
1996.239014 -1698.319671 996.890065
1995.761633 -1717.586263 952.884507
1994.687270 -1736.569733 908.679197
1993.020377 -1755.258415 864.283472
1990.765673 -1773.640758 819.706707
